text_customer,intent,drafted_reply,predicted_escalation,escalation_reason,true_escalation,escalation_correct,text_reply,judge_score
@AmericanAir Thank you,flight_disruption,You bet.,auto,Intent 'flight_disruption' is typically self-contained (info/apology/praise response),auto,True,@334079 You're welcome!,
@AmericanAir Good morning! Always exceptional service with you guys! Could I get a follow back please?,praise,@227330 Good morning! We love to hear that. We're following you now!,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,@227330 We always love having you on board! We're following you now.,5.0
@AmericanAir @Delta so I’m a frequent flyer &amp; Made a mistake with delta ticket and they didn’t help or offer an solutions.,seating_booking,"We appreciate you thinking of us! While we can only assist with American Airlines reservations, we're always here for you when you fly with us.",auto,Intent 'seating_booking' is typically self-contained (info/apology/praise response),escalate,False,"@177366 We'd love a chance to impress you on board, Deborah.",3.0
@AmericanAir is still the worse carrier in the US.  I am now 3 for 3 of my last planes used with mechanical / operator error.  Today Flight 425 was loaded in correctly and set off an alarm on taxi.  Over 25 people missed their connections.,flight_disruption,"We're truly sorry to hear about the disruptions on your recent flights, especially with Flight 425 today. Safety is always our top priority. Please DM us your record locator so we can look into this further for you.",escalate,Reply requires customer to provide case-specific details (DM/record locator),auto,False,@667919 Safety is a top priority for us. Our apology for any added travel time we caused for you.,5.0
"@AmericanAir yes, no kidding, hence why I'm sending you guys a message. I need a seat assignment. That Basic Economy is the worst idea to date FYI",staff_complaint,"We understand your frustration. To help with your seat assignment, please send us a DM with your record locator.",escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,@461106 We want to give customers as many options as possible but we're unable to assign a seat at this time. Our gate agent will definitely assist.,4.0
"Some people are testy! Some people are rude! But they're all well handled! By your professional crew! Thanks, @AmericanAir for getting us home!",praise,@Felicite We always love having you on board! We'll be sure to pass your kind words along to our crew.,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,"@214902 We always love having you o board, Felicite!",5.0
@724836 @AmericanAir so?,general_other,@724836 We're here and happy to help! How can we assist you today?,auto,Intent 'general_other' is typically self-contained (info/apology/praise response),auto,True,@580767 We want to keep things simple and we're always happy to help!,3.0
It’s ridiculous that @AmericanAir lost my luggage and nobody on the phone has been able to locate it STILL; 3 days later. How. 🙄,baggage_issue,We're truly sorry to hear your bag is still missing after three days. That's certainly frustrating. Please DM us your baggage claim number so we can look into this for you.,escalate,Intent 'baggage_issue' historically required individual case handling by AA agents,escalate,True,@780168 We're sorry for the delay of your bag. Please follow and DM your baggage locator and we'll be happy to check on the status for you.,5.0
@AmericanAir We were told the Portland plane had a flat tire—it had been there 24+ hours and no one inspected until plane is loaded with passengers?,flight_disruption,We're sorry to hear about the delay. We understand your frustration when things don't go as planned. Please send us a DM with your record locator so we can look into this further.,escalate,Reply requires customer to provide case-specific details (DM/record locator),auto,False,"@611003 We're sorry for the wait, Steve. Our team is working to get that fixed and send you on your way as quickly as possible.",3.0
"My plane, by the way, a surprisingly nice @AmericanAir Boeing 757, flying direct to Chicago from Manchester. https://t.co/0rOfHoDqhl",praise,"We're glad you enjoyed your flight, @[Customer's Twitter handle]! We look forward to welcoming you aboard again soon.",auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,@385976 She truly is #beAAutiful!,5.0
@AmericanAir That's why your loyalty program is a joke.  And you're not willing to status match @delta . Horrible customer service. #ratherflydeltacargo,flight_disruption,"We're sorry to hear this, and want to assure you we're always working to improve your experience. We'd appreciate the chance to learn more about your recent service, if you'd like to DM us.",escalate,Reply requires customer to provide case-specific details (DM/record locator),escalate,True,@218899 We hope you'll take a peek at all the wonderful benefits are elite customers have: https://t.co/YafOculkUS,3.0
@AmericanAir A nearly 3 hour delay because you are missing a pilot? Better figure this out before Holiday Season! #Flight_AA0497,flight_disruption,@746142 We understand your frustration with this delay. We're working hard to get you to your destination. Please DM us your record locator if you need further assistance.,escalate,Reply requires customer to provide case-specific details (DM/record locator),auto,False,@746142 We know your time is valuable and we're doing to everything we can to get a full crew for the flight. Thanks for your patience.,3.0
"@AmericanAir Point is, should have been told about this when seat was booked so I had better options. Poor website, poor customer experience.",general_other,We're sorry to hear about the frustration. We'd like to understand more about your experience. Please send us a direct message with details.,escalate,Reply requires customer to provide case-specific details (DM/record locator),auto,False,@781106 We're sorry for the confusion and we appreciate you letting us know.,4.0
