tweet_id_customer,text_customer,tweet_id_reply,text_reply,created_at_customer,created_at_reply,intent,escalation,predicted_intent,correct,baseline_majority,baseline_keyword,predicted_intent_post,correct_post
2321709,"Really @AmericanAir? Your website (which you helpfully sent me) shows departure at 9:15, even though it's 9:16, and we still have not boarded. The flight was originally 9:00. https://t.co/aZHSWFB9UF",2321707,"@672647 We know you're ready to be on your way. Once we have more info, we'll continue to make updates to the link.",Mon Nov 13 14:18:31 +0000 2017,Mon Nov 13 14:20:18 +0000 2017,flight_disruption,auto,flight_disruption,True,general_other,general_other,flight_disruption,True
1412039,"@AmericanAir And now we are getting off the flight for a mechanical problem, that’s two for you in one week.  Well run airline",1412040,@127442 Our team's working quickly to have you on your way as quickly and safely as possible. We're so sorry your travel has been affected.,Thu Nov 02 03:36:54 +0000 2017,Thu Nov 02 03:41:46 +0000 2017,flight_disruption,auto,flight_disruption,True,general_other,flight_disruption,flight_disruption,True
2551483,@724836 @AmericanAir so?,2551481,@580767 We want to keep things simple and we're always happy to help!,Mon Oct 30 15:20:54 +0000 2017,Mon Oct 30 15:25:36 +0000 2017,general_other,auto,general_other,True,general_other,general_other,general_other,True
1426530,"Losing one’s wallet is one of the most stressful things. Being told, ain’t shit you can do for 4 hours is worse. Thanks for helping @AmericanAir",1426529,"@451399 We know losing a wallet is worrisome. Once you file a claim, we'll reach out if a match is made.",Sun Nov 26 01:10:05 +0000 2017,Sun Nov 26 01:21:59 +0000 2017,general_other,escalate,staff_complaint,False,general_other,praise,staff_complaint,False
280236,@AmericanAir 5 agents at priority desk without a single customer. Long line at main desk. Why not use idle agents to serve customers? #bad,280235,@182788 Our apologies on the extra wait time. We'll have you checked in as soon as we can. Thanks for your patience.,Fri Oct 06 10:03:20 +0000 2017,Fri Oct 06 10:13:31 +0000 2017,staff_complaint,escalate,staff_complaint,True,general_other,general_other,staff_complaint,True
2754029,@AmericanAir I have flown with your airline the last 3 years and it’s been stellar every single time. #AAwesome #AAvacation,2754028,"@765532 We love hearing this, Joel. We think you're pretty #AAwesome too! We'll see you again soon.",Mon Nov 20 20:53:47 +0000 2017,Mon Nov 20 20:54:55 +0000 2017,praise,auto,praise,True,general_other,praise,praise,True
2963591,@AmericanAir don't you think you should at least tell what flights are affected with staff shortages in Dec so if changes need to be made they can? I am flying first class on Dec 23 best not be my flight to Miami.,2963590,@817728 We're working to have this issue resolved and avoid any canceled flights.,Wed Nov 29 21:32:12 +0000 2017,Wed Nov 29 21:38:11 +0000 2017,flight_disruption,auto,flight_disruption,True,general_other,staff_complaint,flight_disruption,True
2066154,@AmericanAir We were told the Portland plane had a flat tire—it had been there 24+ hours and no one inspected until plane is loaded with passengers?,2066156,"@611003 We're sorry for the wait, Steve. Our team is working to get that fixed and send you on your way as quickly as possible.",Thu Oct 19 17:21:15 +0000 2017,Thu Oct 19 17:23:30 +0000 2017,flight_disruption,auto,flight_disruption,True,general_other,general_other,flight_disruption,True
2296080,@AmericanAir Hello. When should we chat about this mess? Feel free to DM,2296081,"@666652 We're following you, Stan. Please follow and DM so we can go over your travel experience.",Wed Nov 15 00:09:21 +0000 2017,Wed Nov 15 00:18:59 +0000 2017,general_other,escalate,general_other,True,general_other,general_other,general_other,True
2148598,@AmericanAir I just received word that my 13 hr flight from LAX to Tokyo will not have limited food service in biz class.  Please help me understand what this means for me and my family as this is unacceptable.,2148597,@434120 We understand your concern and we'll follow-up with you via DM.,Wed Nov 08 23:53:00 +0000 2017,Thu Nov 09 00:31:07 +0000 2017,general_other,escalate,general_other,True,general_other,general_other,general_other,True
83918,Great day for a flight with @AmericanAir https://t.co/kkbeo84jM1,83916,@134440 We couldn't agree with you more! We're happy to start our day of right with you on board.,Thu Nov 30 13:36:43 +0000 2017,Thu Nov 30 13:38:08 +0000 2017,praise,auto,praise,True,general_other,praise,praise,True
418858,"Some people are testy! Some people are rude! But they're all well handled! By your professional crew! Thanks, @AmericanAir for getting us home!",418857,"@214902 We always love having you o board, Felicite!",Tue Oct 10 04:30:20 +0000 2017,Tue Oct 10 04:49:04 +0000 2017,praise,auto,praise,True,general_other,staff_complaint,praise,True
2491018,@AmericanAir never fails with y’all boy I swear,2491017,"@711239 We're sensing some frustration, Jalen. What's going on? How can we help you?",Wed Nov 15 17:18:50 +0000 2017,Wed Nov 15 17:21:29 +0000 2017,general_other,escalate,general_other,True,general_other,general_other,general_other,True
2483536,"@AmericanAir hey, travel queries, need assistance.",2483535,@709530 We've responded to your DM.,Sun Oct 29 23:59:47 +0000 2017,Mon Oct 30 00:00:47 +0000 2017,general_other,escalate,general_other,True,general_other,general_other,general_other,True
1517264,@AmericanAir thank you for getting me home 6 hours early today!  #Standby,1517263,"@472017 We're happy we could get you home sooner to help start your weekend early, Michael. We'll see you again soon!",Fri Nov 03 19:07:02 +0000 2017,Fri Nov 03 19:12:07 +0000 2017,praise,auto,praise,True,general_other,praise,praise,True
514202,@AmericanAir flight attendant on 5282 makes me unpack everything in my bag and carry it in a plastic bag because my bag is too big to carry on plane. Left my scarf and a folder inside. Silly! #loyalamericanmember https://t.co/fFVH4RFhbC,514201,"@238391 It must fit comfortably within the lines, including wheels and handles.",Sat Dec 02 00:22:36 +0000 2017,Sat Dec 02 00:25:03 +0000 2017,baggage_issue,auto,baggage_issue,True,general_other,baggage_issue,baggage_issue,True
2301445,@AmericanAir is still the worse carrier in the US.  I am now 3 for 3 of my last planes used with mechanical / operator error.  Today Flight 425 was loaded in correctly and set off an alarm on taxi.  Over 25 people missed their connections.,2301444,@667919 Safety is a top priority for us. Our apology for any added travel time we caused for you.,Sun Nov 12 17:32:45 +0000 2017,Sun Nov 12 17:43:38 +0000 2017,flight_disruption,auto,flight_disruption,True,general_other,flight_disruption,flight_disruption,True
850890,@AmericanAir I travel every week for business no isues,850894,@322139 We expect our team to be consistent and fair with all our customers. Our apologies again for this inconvenience.,Fri Oct 13 13:34:39 +0000 2017,Fri Oct 13 13:40:09 +0000 2017,praise,auto,praise,True,general_other,general_other,praise,True
868602,".@SouthwestAir why can I fly from AMA to DAL &amp; DAL to JAX, but not AMA to JAX. Makes no sense. Now I have to fly @AmericanAir 🙄",868601,@326242 We look forward to having you on board with us!,Fri Oct 13 15:15:02 +0000 2017,Fri Oct 13 15:23:35 +0000 2017,general_other,auto,general_other,True,general_other,general_other,general_other,True
