text_customer,intent,drafted_reply,predicted_escalation,escalation_reason,true_escalation,escalation_correct,text_reply,judge_score,human_score,diff
I'm trying MCE on my next @AmericanAir flight from RDU to PHL on A319. Can't wait!,praise,We hope you enjoy it!,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,@329959 We look forward to welcoming you on board!,3.0,3,0.0
"Some people are testy! Some people are rude! But they're all well handled! By your professional crew! Thanks, @AmericanAir for getting us home!",praise,@Felicite We always love having you on board! We'll be sure to pass your kind words along to our crew.,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,"@214902 We always love having you o board, Felicite!",5.0,4,1.0
@AmericanAir .. landed in Charlotte at 7:11 PM. It’s now 7:52 without any luggage.. or staff in baggage claim.. or belt movement. Hello? https://t.co/PFxh5m9JIl,baggage_issue,We're so sorry for the delay with your luggage. We understand how frustrating this is. Could you please DM us your record locator so we can look into this for you?,escalate,Intent 'baggage_issue' historically required individual case handling by AA agents,auto,False,@117545 We're sorry for the wait tonight. We'll have you bags out to you as soon as possible. https://t.co/vpkBeWiqTq,4.0,4,0.0
thank you @AmericanAir for putting me on a new flight! I will make home on-time to see my daughter! beyond grateful!,flight_disruption,"We're so glad we could help, and that you'll be home to see your daughter! Safe travels!",auto,Intent 'flight_disruption' is typically self-contained (info/apology/praise response),escalate,False,@313097 We appreciate you flying with us and know how important it is to see your kids. Have a great visit!,5.0,4,1.0
@AmericanAir great flight 1620 Denver to Dallas Kelly great flight attendant really professional. Thx,praise,"@668501 Way to go, Kelly! We'll be sure to pass along the kudos. #AATeam",auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,"@668501 Way to go, Kelly! We'll be sure to pass along the kudos. #AATeam",5.0,5,0.0
Landing On My @AmericanAir Flight At Boston's Logan Airport.Smooth On Time https://t.co/BiVMvzLX8f It! https://t.co/cQ9O1it3fC,seating_booking,@[customer's twitter handle] We're so glad you had a smooth and on-time flight! Thanks for sharing this great shot with us. #AmericanView ✈️,auto,Intent 'seating_booking' is typically self-contained (info/apology/praise response),escalate,False,@258150 You always capture such stellar shots of your #AmericanView. We love to see them.,5.0,4,1.0
Any airlines having #blackfriday deals?? @Delta @116450 @AmericanAir @120910 @VirginAtlantic @British_Airways,general_other,"We recommend keeping an eye on our website, aa.com, for any upcoming promotions!",auto,Intent 'general_other' is typically self-contained (info/apology/praise response),auto,True,@271298 Contact our Reservations Team at 800-433-7300 for the lowest fares we have available.,3.0,3,0.0
@AmericanAir @Delta so I’m a frequent flyer &amp; Made a mistake with delta ticket and they didn’t help or offer an solutions.,seating_booking,"We appreciate you thinking of us! While we can only assist with American Airlines reservations, we're always here for you when you fly with us.",auto,Intent 'seating_booking' is typically self-contained (info/apology/praise response),escalate,False,"@177366 We'd love a chance to impress you on board, Deborah.",3.0,1,2.0
@AmericanAir has a serious employee culture problem. #dontflyamericanairlines,staff_complaint,"We're sorry to hear this, and want to assure you that this is not the experience we want for our customers. Can you please send us a DM with more details so we can look into this?",escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,"@496130 We count on our employees to always be helpful, courteous, and treat people with respect. Is there anything we can help with?",4.0,4,0.0
@AmericanAir Good morning! Always exceptional service with you guys! Could I get a follow back please?,praise,@227330 Good morning! We love to hear that. We're following you now!,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,@227330 We always love having you on board! We're following you now.,5.0,5,0.0
"@AmericanAir They wouldn't hold the plane for 3 minutes when I ran over there from K10 to K8. Door was already closed. Had to spend the night in CHI after waiting on  a long, slow Customer Service line. Instead of getting home 10pm ET FRI, I got back 4pm ET on SAT. Unacceptable. Very poor.",staff_complaint,"We're sorry to hear about your experience and the inconvenience this caused. Please DM us your record locator, and we'll review what happened.",escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,"@296013 We're so sorry, we aren't always able to hold flights due to the domino effect it can have. If you send us a DM, we'll take a closer look.",4.0,3,1.0
"@122128 has awful baggage service. 30 min after my @AmericanAir flight parks, still no bag. 👎#Lackluster #Slacking",refund_compensation,We're sorry to hear about the delay with your bag. Please DM us with your record locator so we can look into this for you.,escalate,Intent 'refund_compensation' historically required individual case handling by AA agents,escalate,True,"@371798 What? You still haven't received your bag. We don't mind looking and getting an update. Send us a quick DM with your record locator, please.",5.0,3,2.0
