tweet_id_customer,text_customer,suggested_intent,suggested_escalation,intent,escalation,reviewed_by_me,claude_note,tweet_id_reply,text_reply,created_at_customer,created_at_reply,model_predicted_intent,model_agrees_with_label
1837814,@AmericanAir Further down on website for basic economy it says 1 bag + personal item. Am I going to be charged extra if I go by what it says online?,baggage_issue,auto,baggage_issue,auto,,Basic-economy bag allowance question -> baggage fees. Arguable general_other (policy Q).,1837816,"@550927 That's for Economy tickets, Samantha. Click here for Basic Economy restrictions. https://t.co/MKvFFVWJdz",Wed Oct 18 19:11:19 +0000 2017,Wed Oct 18 19:30:38 +0000 2017,baggage_issue,True
95985,@AmericanAir Thank you :),praise,auto,praise,auto,,,95987,@136905 Anytime!,Thu Nov 30 16:55:59 +0000 2017,Thu Nov 30 17:01:56 +0000 2017,praise,True
2504425,"Hummus, Cheese Cubes and Olives at the @AmericanAir Admirals Club. My favorite travel lunch.",praise,auto,praise,auto,,,2504424,@370831 That sounds pretty yummy! Thanks for stopping by.,Wed Nov 15 20:19:04 +0000 2017,Wed Nov 15 20:42:26 +0000 2017,praise,True
1140265,"In 2017, real time re-routing of crew ought to be a thing. Sadly, @americanair isnt even transparent w/gate agents with clear info. 👎👎 https://t.co/8vDB7jos4w",flight_disruption,auto,flight_disruption,auto,,Re-routing/info transparency. Arguable staff_complaint (gate agents).,1140264,"@385470 We appreciate your feedback, Elizabeth. We always want to do better for all our customers.",Sun Oct 15 15:14:18 +0000 2017,Sun Oct 15 15:46:26 +0000 2017,staff_complaint,False
1217153,@AmericanAir Real or brochure-ware? Been exploring Asia trip and this shows up nowhere. Gold service and she didn't have a clue. Where's the beef?,general_other,auto,general_other,auto,,Product/promo confusion; rep 'didn't have a clue' -> mild staff_complaint overlap.,1217152,"@405620 We're not sure what you mean, Tom. What's going on?",Sun Oct 15 23:04:23 +0000 2017,Sun Oct 15 23:51:19 +0000 2017,general_other,True
1376211,@AmericanAir nvm i called and it was fixed! thanks :),praise,auto,praise,auto,,Resolved-then-thanks. Arguable general_other.,1376213,@226815 Awesome! We're glad to hear.,Sat Oct 28 02:14:48 +0000 2017,Sat Oct 28 03:36:36 +0000 2017,praise,True
260967,@AmericanAir Please do he deserves something for being sooooo awesome !!!!,praise,auto,praise,auto,,,260969,@178130 Done! Have a great evening. We look forward to seeing you again one day soon.,Fri Oct 06 00:31:27 +0000 2017,Fri Oct 06 01:33:45 +0000 2017,praise,True
939721,"Hey @AmericanAir - Had a refreshingly cheerful and helpful flight attendant, Trisha, flight 3573 for ORD to PIT! Hire people like her!",praise,auto,praise,auto,,,939720,"@342765 We've got the #BestintheBiz, Liz! We'll forward your praises to Trish and the rest of our #AATeam.",Sat Oct 21 18:28:39 +0000 2017,Sat Oct 21 18:47:32 +0000 2017,praise,True
1393094,@AmericanAir been over an hour now and going to miss my connecting flight.,flight_disruption,escalate,flight_disruption,escalate,,Misconnect in progress -> needs rebooking.,1393096,@444005 Please DM your record locator and we'll take a closer look at your itinerary.,Sat Oct 28 13:43:00 +0000 2017,Sat Oct 28 13:59:11 +0000 2017,flight_disruption,True
2258850,@AmericanAir flight AA2358 snotty f’ing little blonde flight attendant. She should be grounded.,staff_complaint,escalate,staff_complaint,escalate,,,2258849,@657790 We only want the best and most professional on board and we apologize that wasn't the case. We look forward to another opportunity soon.,Fri Nov 10 23:09:36 +0000 2017,Sat Nov 11 00:43:36 +0000 2017,staff_complaint,True
1641563,shoutout to the @AmericanAir pilots of flight 3199 to cle flying through lightening and a tornado watch and me crying in the back,praise,auto,praise,auto,,,1641562,"@501842 You're always in great hands with our team, Caroline. Thanks for your kind words.",Sun Nov 05 23:06:28 +0000 2017,Mon Nov 06 00:02:32 +0000 2017,praise,True
792847,i’m stuck in an airport until 6 cuz @AmericanAir made me miss my connecting flight. someone entertain me pls.,flight_disruption,escalate,flight_disruption,escalate,,Missed connection caused by AA.,792846,"@309056 We never want to miss your connection, our apologies. We can check for other rebooking options via DM.",Thu Oct 12 13:13:31 +0000 2017,Thu Oct 12 13:17:14 +0000 2017,flight_disruption,True
2357533,@AmericanAir Well played.,general_other,auto,general_other,auto,,Two-word banter; could be sarcastic praise. Thread-dependent.,2413151,@693715 Just a little #throwback to brighten up your day!,Tue Nov 14 16:45:41 +0000 2017,Tue Nov 14 17:03:20 +0000 2017,praise,False
857438,@AmericanAir Take your bull shit sorry and invest in a preventative maintenance program for godsakes. Get it together.,flight_disruption,escalate,flight_disruption,escalate,,Mechanical venting. Arguable general_other (pure venting).,857436,"@323610 We're making frequent updates to our fleet and on track to have the youngest one in the industry, on average, by 2018.",Fri Oct 13 13:52:09 +0000 2017,Fri Oct 13 13:58:48 +0000 2017,general_other,False
